상품id,상품명,브랜드,정가,판매가,상위카테고리,하위카테고리,성별,별점,관심수,후기수,실측사이즈,할인율,핏_계절감,누적판매,스타일
1844582,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 8Color ) ( 기모선택 ),브렌슨단독,37400,28410,바지,트레이닝/조거 팬츠,0,4.8,190000,40614,"[{""사이즈"": ""M"", ""총장"": ""104"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""62"", ""허벅지단면"": ""38"", ""밑위"": ""32.5"", ""밑단단면"": ""25""}, {""사이즈"": ""L"", ""총장"": ""106"", ""허리단면"": ""33"", ""엉덩이단면"": ""64"", ""허벅지단면"": ""39"", ""밑위"": ""33.5"", ""밑단단면"": ""26""}, {""사이즈"": ""XL"", ""총장"": ""108"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""66"", ""허벅지단면"": ""40"", ""밑위"": ""34.5"", ""밑단단면"": ""27""}, {""사이즈"": ""2XL"", ""총장"": ""110"", ""허리단면"": ""36"", ""엉덩이단면"": ""68"", ""허벅지단면"": ""41"", ""밑위"": ""35.5"", ""밑단단면"": ""28""}]",24,"{""핏"": [""오버 사이즈""], ""계절감"": [""봄"", ""여름"", ""가을"", ""겨울""]}",31만 개 이상,"#그레이,#무지,#바지,#밴딩팬츠,#빈티지,#스웨트팬츠,#스웻팬츠,#와이드,#조거팬츠,#트레이닝세트"
1926048,Deep One Tuck Sweat Shorts [Grey],제로단독,,32000,바지,숏 팬츠,0,4.9,190000,95755,"[{""사이즈"": ""XS"", ""총장"": ""56"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""29""}, {""사이즈"": ""S"", ""총장"": ""58"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""32"", ""밑위"": ""33"", ""밑단단면"": ""30""}, {""사이즈"": ""M"", ""총장"": ""60"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33.5"", ""밑위"": ""34.5"", ""밑단단면"": ""31.5""}, {""사이즈"": ""L"", ""총장"": ""62"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""33""}, {""사이즈"": ""XL"", ""총장"": ""64"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""34.5""}, {""사이즈"": ""Free"", ""총장"": ""68"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""36""}, {""사이즈"": ""XS / Mesh"", ""총장"": ""56"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""29""}, {""사이즈"": ""S / Mesh"", ""총장"": ""58"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""32"", ""밑위"": ""33"", ""밑단단면"": ""30""}, {""사이즈"": ""M / Mesh"", ""총장"": ""60"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33.5"", ""밑위"": ""34.5"", ""밑단단면"": ""31.5""}, {""사이즈"": ""L / Mesh"", ""총장"": ""62"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""33""}, {""사이즈"": ""XL / Mesh"", ""총장"": ""64"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""34.5""}, {""사이즈"": ""Free / Mesh"", ""총장"": ""68"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""36""}]",,"{""핏"": [""오버 사이즈""], ""계절감"": [""여름""]}",35만 개 이상,"#반바지,#버뮤다팬츠,#쇼츠,#쇼츠컬렉션,#숏팬츠,#스웨트쇼츠,#스웨트컬렉션,#스웻,#여름바지"
2574822,(Renew Ver.) 원턱 와이드 반바지 ( 6Color ),브렌슨단독,31200,22410,바지,숏 팬츠,0,4.8,140000,41745,"[{""사이즈"": ""M"", ""총장"": ""59"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""62"", ""허벅지단면"": ""38"", ""밑위"": ""35"", ""밑단단면"": ""33""}, {""사이즈"": ""L"", ""총장"": ""60.5"", ""허리단면"": ""33"", ""엉덩이단면"": ""64"", ""허벅지단면"": ""39"", ""밑위"": ""35.5"", ""밑단단면"": ""34""}, {""사이즈"": ""XL"", ""총장"": ""62"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""66"", ""허벅지단면"": ""40"", ""밑위"": ""36"", ""밑단단면"": ""35""}, {""사이즈"": ""2XL"", ""총장"": ""63.5"", ""허리단면"": ""36"", ""엉덩이단면"": ""68"", ""허벅지단면"": ""41"", ""밑위"": ""36.5"", ""밑단단면"": ""36""}]",28,"{""핏"": [""오버 사이즈""], ""계절감"": [""여름""]}",29만 개 이상,"#루즈핏,#바지,#반바지,#밴딩바지,#버뮤다팬츠,#와이드팬츠,#트레이닝세트,#팬츠"
1551840,Deep One Tuck Sweat Pants [Grey],제로단독,39000,23400,바지,트레이닝/조거 팬츠,0,4.9,290000,226492,"[{""사이즈"": ""XS"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}, {""사이즈"": ""XS / 기모"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S / 기모"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M / 기모"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L / 기모"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL / 기모"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free / 기모"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide / 기모"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}, {""사이즈"": ""XS / 여름용"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S / 여름용"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M / 여름용"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L / 여름용"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL / 여름용"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free / 여름용"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide / 여름용"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}]",40,"{""핏"": [""오버 사이즈""], ""계절감"": [""봄"", ""가을"", ""겨울""]}",60만 개 이상,"#딥원턱스웨트팬츠,#스웨트컬렉션,#스웨트팬츠,#스웻팬츠,#오버핏,#와이드팬츠,#원턱,#트레이닝팬츠"
3791988,데미지 워시드 데님 팬츠,필루미네이트단독,53000,26600,바지,데님 팬츠,0,4.8,220000,15111,"[{""사이즈"": ""XS"", ""총장"": ""102"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""53"", ""허벅지단면"": ""38"", ""밑위"": ""35.5"", ""밑단단면"": ""26""}, {""사이즈"": ""S"", ""총장"": ""103.5"", ""허리단면"": ""37"", ""엉덩이단면"": ""55"", ""허벅지단면"": ""39"", ""밑위"": ""36.5"", ""밑단단면"": ""27""}, {""사이즈"": ""M"", ""총장"": ""105"", ""허리단면"": ""39.5"", ""엉덩이단면"": ""57"", ""허벅지단면"": ""40"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""L"", ""총장"": ""106.5"", ""허리단면"": ""42"", ""엉덩이단면"": ""59"", ""허벅지단면"": ""41"", ""밑위"": ""38.5"", ""밑단단면"": ""29""}, {""사이즈"": ""XL"", ""총장"": ""108"", ""허리단면"": ""44.5"", ""엉덩이단면"": ""61"", ""허벅지단면"": ""42"", ""밑위"": ""39.5"", ""밑단단면"": ""30""}, {""사이즈"": ""XS(10oz)"", ""총장"": ""102"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""53"", ""허벅지단면"": ""38"", ""밑위"": ""35.5"", ""밑단단면"": ""26""}, {""사이즈"": ""S(10oz)"", ""총장"": ""103.5"", ""허리단면"": ""37"", ""엉덩이단면"": ""55"", ""허벅지단면"": ""39"", ""밑위"": ""36.5"", ""밑단단면"": ""27""}, {""사이즈"": ""M(10oz)"", ""총장"": ""105"", ""허리단면"": ""39.5"", ""엉덩이단면"": ""57"", ""허벅지단면"": ""40"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""L(10oz)"", ""총장"": ""106.5"", ""허리단면"": ""42"", ""엉덩이단면"": ""59"", ""허벅지단면"": ""41"", ""밑위"": ""38.5"", ""밑단단면"": ""29""}, {""사이즈"": ""XL(10oz)"", ""총장"": ""108"", ""허리단면"": ""44.5"", ""엉덩이단면"": ""61"", ""허벅지단면"": ""42"", ""밑위"": ""39.5"", ""밑단단면"": ""30""}]",50,"{""핏"": [""오버 사이즈""], ""계절감"": [""봄"", ""여름"", ""가을"", ""겨울""]}",13만 개 이상,"#ALLSEASON,#데님,#데님와이드핏,#데님팬츠,#바지,#스테디셀러,#와이드팬츠,#워싱진,#청바지"
1926034,Deep One Tuck Sweat Shorts [Black],제로단독,,32000,바지,숏 팬츠,0,4.9,66000,95755,"[{""사이즈"": ""XS"", ""총장"": ""56"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""29""}, {""사이즈"": ""S"", ""총장"": ""58"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""32"", ""밑위"": ""33"", ""밑단단면"": ""30""}, {""사이즈"": ""M"", ""총장"": ""60"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33.5"", ""밑위"": ""34.5"", ""밑단단면"": ""31.5""}, {""사이즈"": ""L"", ""총장"": ""62"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""33""}, {""사이즈"": ""XL"", ""총장"": ""64"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""34.5""}, {""사이즈"": ""Free"", ""총장"": ""68"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""36""}, {""사이즈"": ""XS / Mesh"", ""총장"": ""56"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""29""}, {""사이즈"": ""S / Mesh"", ""총장"": ""58"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""32"", ""밑위"": ""33"", ""밑단단면"": ""30""}, {""사이즈"": ""M / Mesh"", ""총장"": ""60"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33.5"", ""밑위"": ""34.5"", ""밑단단면"": ""31.5""}, {""사이즈"": ""L / Mesh"", ""총장"": ""62"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""33""}, {""사이즈"": ""XL / Mesh"", ""총장"": ""64"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""34.5""}, {""사이즈"": ""Free / Mesh"", ""총장"": ""68"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""36"", ""밑단단면"": ""36""}]",,"{""핏"": [""오버 사이즈""], ""계절감"": [""여름""]}",15만 개 이상,"#반바지,#버뮤다팬츠,#쇼츠,#쇼츠컬렉션,#숏팬츠,#스웨트쇼츠,#스웨트컬렉션,#스웻,#여름바지"
2112061,[여름 or 기모 or 사계절 원단 선택] 원턱 와이드 스웨트팬츠 블랙,가까이 유니언즈단독,52000,28600,바지,트레이닝/조거 팬츠,0,4.9,120000,41981,"[{""사이즈"": ""XS"", ""총장"": ""97.5"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""29"", ""밑단단면"": ""23.5""}, {""사이즈"": ""S"", ""총장"": ""99"", ""허리단면"": ""32"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""31"", ""밑위"": ""30"", ""밑단단면"": ""24""}, {""사이즈"": ""M"", ""총장"": ""101"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""32"", ""밑위"": ""31"", ""밑단단면"": ""25""}, {""사이즈"": ""L"", ""총장"": ""103"", ""허리단면"": ""36"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""32"", ""밑단단면"": ""26""}, {""사이즈"": ""XL"", ""총장"": ""105"", ""허리단면"": ""38"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34"", ""밑위"": ""33"", ""밑단단면"": ""27""}, {""사이즈"": ""2XL"", ""총장"": ""107.5"", ""허리단면"": ""39"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""35"", ""밑위"": ""34"", ""밑단단면"": ""28""}]",45,"{""핏"": [""루즈"", ""오버 사이즈""], ""계절감"": [""봄"", ""여름"", ""가을"", ""겨울""]}",28만 개 이상,"#루즈핏,#스웨트팬츠컬렉션,#와이드,#와이드팬츠,#이지웨어,#일자,#테이퍼드,#트레이닝"
1551839,Deep One Tuck Sweat Pants [Black],제로단독,39000,23400,바지,트레이닝/조거 팬츠,0,4.9,80000,226492,"[{""사이즈"": ""XS"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}, {""사이즈"": ""XS / 기모"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S / 기모"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M / 기모"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L / 기모"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL / 기모"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free / 기모"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide / 기모"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}, {""사이즈"": ""XS / 여름용"", ""총장"": ""98"", ""허리단면"": ""31"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""30.5"", ""밑위"": ""31.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""S / 여름용"", ""총장"": ""101"", ""허리단면"": ""31.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""33"", ""밑위"": ""33"", ""밑단단면"": ""23.5""}, {""사이즈"": ""M / 여름용"", ""총장"": ""103"", ""허리단면"": ""32.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""34.5"", ""밑단단면"": ""24.5""}, {""사이즈"": ""L / 여름용"", ""총장"": ""105"", ""허리단면"": ""34.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""36"", ""밑위"": ""36"", ""밑단단면"": ""25.5""}, {""사이즈"": ""XL / 여름용"", ""총장"": ""107"", ""허리단면"": ""36.5"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""37.5"", ""밑위"": ""37.5"", ""밑단단면"": ""28""}, {""사이즈"": ""Free / 여름용"", ""총장"": ""110"", ""허리단면"": ""34"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""34.5"", ""밑위"": ""35.5"", ""밑단단면"": ""25""}, {""사이즈"": ""Wide / 여름용"", ""총장"": ""110"", ""허리단면"": ""35"", ""엉덩이단면"": ""-"", ""허벅지단면"": ""38"", ""밑위"": ""39"", ""밑단단면"": ""29""}]",40,"{""핏"": [""오버 사이즈""], ""계절감"": [""봄"", ""가을"", ""겨울""]}",25만 개 이상,"#딥원턱스웨트팬츠,#블랙,#스웨트컬렉션,#스웨트팬츠,#스웻팬츠,#와이드팬츠,#원턱팬츠,#트레이닝팬츠,#플리츠팬츠"
1149329,세미 와이드 히든 밴딩 슬랙스 [블랙],무신사 스탠다드단독,39900,37990,바지,슈트 팬츠/슬랙스,1,4.8,120000,113030,"[{""사이즈"": ""26"", ""총장"": ""102"", ""허리단면"": ""35"", ""엉덩이단면"": ""44.5"", ""허벅지단면"": ""29.3"", ""밑위"": ""26"", ""밑단단면"": ""20""}, {""사이즈"": ""27"", ""총장"": ""102"", ""허리단면"": ""36.3"", ""엉덩이단면"": ""45.75"", ""허벅지단면"": ""29.9"", ""밑위"": ""26"", ""밑단단면"": ""20.3""}, {""사이즈"": ""28"", ""총장"": ""103"", ""허리단면"": ""37.5"", ""엉덩이단면"": ""47"", ""허벅지단면"": ""30.5"", ""밑위"": ""26.5"", ""밑단단면"": ""20.5""}, {""사이즈"": ""29"", ""총장"": ""103"", ""허리단면"": ""38.8"", ""엉덩이단면"": ""48.25"", ""허벅지단면"": ""31.1"", ""밑위"": ""26.5"", ""밑단단면"": ""20.8""}, {""사이즈"": ""30"", ""총장"": ""104"", ""허리단면"": ""40"", ""엉덩이단면"": ""49.5"", ""허벅지단면"": ""31.8"", ""밑위"": ""27"", ""밑단단면"": ""21""}, {""사이즈"": ""31"", ""총장"": ""104"", ""허리단면"": ""41.3"", ""엉덩이단면"": ""50.75"", ""허벅지단면"": ""32.4"", ""밑위"": ""27"", ""밑단단면"": ""21.3""}, {""사이즈"": ""32"", ""총장"": ""104"", ""허리단면"": ""42.5"", ""엉덩이단면"": ""52"", ""허벅지단면"": ""33"", ""밑위"": ""27.5"", ""밑단단면"": ""21.5""}, {""사이즈"": ""33"", ""총장"": ""104"", ""허리단면"": ""43.8"", ""엉덩이단면"": ""53.25"", ""허벅지단면"": ""33.6"", ""밑위"": ""28"", ""밑단단면"": ""21.8""}, {""사이즈"": ""34"", ""총장"": ""105"", ""허리단면"": ""45"", ""엉덩이단면"": ""54.5"", ""허벅지단면"": ""34.3"", ""밑위"": ""28.5"", ""밑단단면"": ""22""}, {""사이즈"": ""36"", ""총장"": ""105"", ""허리단면"": ""47.5"", ""엉덩이단면"": ""57"", ""허벅지단면"": ""35.5"", ""밑위"": ""29.5"", ""밑단단면"": ""22.5""}, {""사이즈"": ""38"", ""총장"": ""106"", ""허리단면"": ""50"", ""엉덩이단면"": ""59.5"", ""허벅지단면"": ""36.8"", ""밑위"": ""30.5"", ""밑단단면"": ""23""}, {""사이즈"": ""40"", ""총장"": ""106"", ""허리단면"": ""52.5"", ""엉덩이단면"": ""62"", ""허벅지단면"": ""38"", ""밑위"": ""31.5"", ""밑단단면"": ""23.5""}, {""사이즈"": ""42"", ""총장"": ""107"", ""허리단면"": ""55"", ""엉덩이단면"": ""64.5"", ""허벅지단면"": ""39.3"", ""밑위"": ""32.5"", ""밑단단면"": ""24""}]",5,"{""핏"": [""레귤러""], ""계절감"": [""봄"", ""가을"", ""겨울""]}",51만 개 이상,"#루즈핏,#밴딩바지,#셋업,#셋업팬츠,#슬랙스컬렉션,#와이드,#와이드팬츠,#정장바지"
4274049,빈티지 캣워싱 와이드 데님 팬츠 [옐로우 워싱],리메인세컨드단독,43500,23990,바지,데님 팬츠,0,4.8,110000,7917,"[{""사이즈"": ""XS"", ""총장"": ""102"", ""허리단면"": ""35.5"", ""엉덩이단면"": ""51.5"", ""허벅지단면"": ""32"", ""밑위"": ""29"", ""밑단단면"": ""25""}, {""사이즈"": ""S"", ""총장"": ""103"", ""허리단면"": ""38"", ""엉덩이단면"": ""54"", ""허벅지단면"": ""33"", ""밑위"": ""30"", ""밑단단면"": ""26""}, {""사이즈"": ""M"", ""총장"": ""104"", ""허리단면"": ""40"", ""엉덩이단면"": ""56"", ""허벅지단면"": ""34"", ""밑위"": ""31"", ""밑단단면"": ""27""}, {""사이즈"": ""L"", ""총장"": ""105"", ""허리단면"": ""42"", ""엉덩이단면"": ""58"", ""허벅지단면"": ""35"", ""밑위"": ""32"", ""밑단단면"": ""28""}, {""사이즈"": ""XL"", ""총장"": ""106"", ""허리단면"": ""44"", ""엉덩이단면"": ""60"", ""허벅지단면"": ""36"", ""밑위"": ""33"", ""밑단단면"": ""29""}, {""사이즈"": ""2XL"", ""총장"": ""107"", ""허리단면"": ""46"", ""엉덩이단면"": ""62"", ""허벅지단면"": ""37"", ""밑위"": ""34"", ""밑단단면"": ""30""}]",45,"{""핏"": [""루즈"", ""오버 사이즈""], ""계절감"": [""봄"", ""여름"", ""가을"", ""겨울""]}",7만 개 이상,"#25FW,#남자청바지,#단독할인,#데님,#데님팬츠,#와이드데님,#와이드팬츠,#캐주얼팬츠,#팬츠,#팬츠컬렉션"
